a,transaction_id,customer_id,credit_card_number,amount,transaction_type,old_balance,transaction_time,new_balance,is_fraud
1,T00001,C3619,4.57943E+16,3751.66,ATM,25033.55,01-01-2023 00:00,21281.89,0
2,T00002,C1456,4.79606E+16,9507.64,Transfer,37362.66,01-01-2023 00:01,27855.02,0
3,T00003,C1102,4.70449E+16,7322.62,Transfer,28177.07,01-01-2023 00:02,20854.45,0
4,T00004,C4037,4.34558E+16,5990.6,POS,4256.8,01-01-2023 00:03,-1733.8,1
5,T00005,C2126,4.24186E+16,1568.63,Online,9360.45,01-01-2023 00:04,7791.82,0
6,T00006,C2003,4.2031E+16,1568.39,Transfer,11044.48,01-01-2023 00:05,9476.09,0
7,T00007,C1914,4.96316E+16,590.26,POS,12967.43,01-01-2023 00:06,12377.17,0
8,T00008,C1571,4.60407E+16,8663.1,ATM,28313.63,01-01-2023 00:07,19650.53,0
9,T00009,C4016,4.19221E+16,6015.14,ATM,25247.89,01-01-2023 00:08,19232.75,0
10,T00010,C1419,4.58867E+16,7083.65,ATM,10237.69,01-01-2023 00:09,3154.04,0
11,T00011,C3771,4.59482E+16,215.64,ATM,3470.99,01-01-2023 00:10,3255.35,0
12,T00012,C4033,4.34414E+16,9699.4,POS,8654.47,01-01-2023 00:11,-1044.93,0
13,T00013,C4654,4.94963E+16,8326.1,Online,49220.63,01-01-2023 00:12,40894.53,0
14,T00014,C3233,4.82418E+16,2131.27,POS,23480.49,01-01-2023 00:13,21349.22,0
15,T00015,C1356,4.61709E+16,1826.43,Online,43380.54,01-01-2023 00:14,41554.11,0
16,T00016,C3418,4.25427E+16,1842.21,ATM,42452.75,01-01-2023 00:15,40610.54,0
17,T00017,C2728,4.38046E+16,3049.38,Transfer,25624.83,01-01-2023 00:16,22575.45,0
18,T00018,C1130,4.90366E+16,5252.32,Transfer,35363.72,01-01-2023 00:17,30111.4,0
19,T00019,C1122,4.58691E+16,4325.13,Transfer,9718.33,01-01-2023 00:18,5393.2,0
20,T00020,C1383,4.14569E+16,2919.38,Online,34451,01-01-2023 00:19,31531.62,0
21,T00021,C1895,4.12611E+16,6122.41,ATM,13691.99,01-01-2023 00:20,7569.58,0
22,T00022,C1952,4.91361E+16,1403.54,POS,41619.9,01-01-2023 00:21,40216.36,0
23,T00023,C3069,4.14545E+16,2928.53,Transfer,4277.83,01-01-2023 00:22,1349.3,0
24,T00024,C3465,4.44552E+16,3669.95,Online,38679.62,01-01-2023 00:23,35009.67,0
25,T00025,C1108,4.17757E+16,4566.14,Transfer,5086.85,01-01-2023 00:24,520.71,0
26,T00026,C3298,4.45301E+16,7853.91,POS,44071.34,01-01-2023 00:25,36217.43,0
27,T00027,C1814,4.73472E+16,2004.74,ATM,15279.81,01-01-2023 00:26,13275.07,0
28,T00028,C3932,4.90279E+16,5147.2,POS,32754.23,01-01-2023 00:27,27607.03,0
29,T00029,C3661,4.66698E+16,5928.22,ATM,24426.36,01-01-2023 00:28,18498.14,0
30,T00030,C3872,4.72161E+16,474.04,ATM,18378.53,01-01-2023 00:29,17904.49,0
31,T00031,C3232,4.50157E+16,6079.37,ATM,32307.55,01-01-2023 00:30,26228.18,0
32,T00032,C2718,4.42032E+16,1713.54,Transfer,47381.4,01-01-2023 00:31,45667.86,0
33,T00033,C1902,4.39934E+16,659.87,POS,2159.36,01-01-2023 00:32,1499.49,0
